tau0,tau,dx,dt
0.5754461871281774,7.0,0.1,0.02
0.5754461871281774,6.94,0.1,0.02
0.5754461871281774,4.88,0.1,0.02
0.5754461871281774,3.62,0.1,0.02
0.5754461871281774,6.24,0.1,0.02
0.5754461871281774,3.66,0.1,0.02
0.5088088642659279,3.96,0.1,0.02
0.5088088642659279,7.0200000000000005,0.1,0.02
0.5088088642659279,3.02,0.1,0.02
0.5088088642659279,3.52,0.1,0.02
0.5088088642659279,4.12,0.1,0.02
0.5088088642659279,3.68,0.1,0.02
0.5088088642659279,3.46,0.1,0.02
0.5088088642659279,3.16,0.1,0.02
0.5088088642659279,3.92,0.1,0.02
0.5088088642659279,3.98,0.1,0.02
0.4556213017751479,3.88,0.1,0.02
0.4556213017751479,3.04,0.1,0.02
0.4556213017751479,3.1,0.1,0.02
0.4556213017751479,3.16,0.1,0.02
0.4556213017751479,3.2600000000000002,0.1,0.02
0.4556213017751479,3.12,0.1,0.02
0.4556213017751479,3.22,0.1,0.02
0.4556213017751479,3.02,0.1,0.02
0.4556213017751479,4.24,0.1,0.02
0.4556213017751479,3.9,0.1,0.02
0.41224841412796615,3.86,0.1,0.02
0.41224841412796615,2.88,0.1,0.02
0.41224841412796615,3.0,0.1,0.02
0.41224841412796615,3.14,0.1,0.02
0.41224841412796615,2.74,0.1,0.02
0.41224841412796615,2.9,0.1,0.02
0.41224841412796615,4.08,0.1,0.02
0.41224841412796615,3.22,0.1,0.02
0.41224841412796615,5.08,0.1,0.02
0.41224841412796615,3.68,0.1,0.02
0.37624294544477294,3.3200000000000003,0.1,0.02
0.37624294544477294,3.6,0.1,0.02
0.37624294544477294,2.7600000000000002,0.1,0.02
0.37624294544477294,3.8200000000000003,0.1,0.02
0.37624294544477294,3.3000000000000003,0.1,0.02
0.37624294544477294,2.38,0.1,0.02
0.37624294544477294,2.86,0.1,0.02
0.37624294544477294,3.44,0.1,0.02
0.37624294544477294,2.52,0.1,0.02
0.37624294544477294,2.74,0.1,0.02
0.3459005885437911,2.54,0.1,0.02
0.3459005885437911,2.72,0.1,0.02
0.3459005885437911,2.54,0.1,0.02
0.3459005885437911,2.34,0.1,0.02
0.3459005885437911,2.94,0.1,0.02
0.3459005885437911,2.7,0.1,0.02
0.3459005885437911,3.08,0.1,0.02
0.3459005885437911,2.74,0.1,0.02
0.3459005885437911,2.4,0.1,0.02
0.3459005885437911,2.46,0.1,0.02
0.32,2.36,0.1,0.02
0.32,2.06,0.1,0.02
0.32,2.2,0.1,0.02
0.32,2.18,0.1,0.02
0.32,3.22,0.1,0.02
0.32,2.66,0.1,0.02
0.32,2.82,0.1,0.02
0.32,2.34,0.1,0.02
0.32,2.74,0.1,0.02
0.32,2.12,0.1,0.02
8.0,90.35000000000001,0.02,0.05
8.0,65.10000000000001,0.02,0.05
8.0,67.15,0.02,0.05
8.0,66.2,0.02,0.05
8.0,64.5,0.02,0.05
8.0,75.2,0.02,0.05
8.0,65.4,0.02,0.05
8.0,58.1,0.02,0.05
8.0,66.05,0.02,0.05
8.0,65.85000000000001,0.02,0.05
3.5992438563327034,30.6,0.02,0.05
3.5992438563327034,23.85,0.02,0.05
3.5992438563327034,31.85,0.02,0.05
3.5992438563327034,32.7,0.02,0.05
3.5992438563327034,21.900000000000002,0.02,0.05
3.5992438563327034,28.950000000000003,0.02,0.05
3.5992438563327034,23.8,0.02,0.05
3.5992438563327034,24.6,0.02,0.05
3.5992438563327034,36.75,0.02,0.05
3.5992438563327034,31.650000000000002,0.02,0.05
2.1875,16.35,0.02,0.05
2.1875,17.3,0.02,0.05
2.1875,22.75,0.02,0.05
2.1875,14.9,0.02,0.05
2.1875,16.75,0.02,0.05
