tau0,tau,dx
0.3459005885437911,3.041601935264051,0.1
0.3459005885437911,2.5707987773560554,0.1
0.32,2.8701185501025175,0.1
0.32,2.7261375983665075,0.1
0.32,4.17429829119222,0.1
0.32,3.5011323435011406,0.1
0.32,2.329114146117447,0.1
0.32,2.6089292737623437,0.1
0.32,2.6115803800207824,0.1
0.32,2.3613517058281785,0.1
0.32,3.171710392626417,0.1
0.32,2.4375218823847735,0.1
8.0,66.66931746750433,0.05
8.0,56.21121185951486,0.05
8.0,56.52492334082858,0.05
8.0,59.527685176147195,0.05
8.0,53.29425835216073,0.05
8.0,50.95806009429617,0.05
8.0,64.80559336603574,0.05
8.0,57.47493081201279,0.05
8.0,50.567413427918105,0.05
8.0,51.38682020844326,0.05
3.5992438563327034,26.324377142584833,0.05
