phi,chi_c_over_chi
0.15515584484484485,0.5243300346213091
0.15615684384384385,0.5270875358582929
0.15715784284284284,0.5298370211033085
0.15815884184184184,0.5325784903563564
0.15915984084084084,0.5353119436174362
0.16016083983983984,0.538037380886548
0.16116183883883883,0.5407548021636919
0.16216283783783783,0.5434642074488678
0.16316383683683683,0.5461655967420757
0.16416483583583583,0.5488589700433156
0.16516583483483482,0.5515443273525875
0.16616683383383382,0.5542216686698915
0.16716783283283285,0.5568909939952276
0.16816883183183184,0.5595523033285956
0.16916983083083084,0.5622055966699957
0.17017082982982984,0.5648508740194278
0.17117182882882884,0.5674881353768918
0.17217282782782783,0.5701173807423879
0.17317382682682683,0.5727386101159161
0.17417482582582583,0.5753518234974763
0.17517582482482483,0.5779570208870685
0.17617682382382382,0.5805542022846927
