,tvals,phi_max,phi_min,phi_avg,energy_vals
223,5.575,0.5564464967478517,0.4409649150552586,0.5000372676344992,322.4641311420664
224,5.6000000000000005,0.5578046850243913,0.43951591167057413,0.5000374306563979,322.4505336621091
225,5.625,0.5591952480221625,0.4380320432455263,0.5000375979892506,322.4362680819569
226,5.65,0.560618921119843,0.43651251560405735,0.5000377697501156,322.4213017032577
227,5.675000000000001,0.5620764534752993,0.4349565199062792,0.5000379460595371,322.4056002478887
228,5.7,0.5635686080503309,0.43336304590158276,0.5000381270416728,322.38912778407575
229,5.7250000000000005,0.5650961616133909,0.43172946803905876,0.5000383128244252,322.37184664907824
230,5.75,0.5666599047181679,0.4300568134832343,0.5000385035395805,322.3537173690148
231,5.775,0.5682606416557566,0.42834421216494484,0.5000386993229529,322.33469857481185
232,5.800000000000001,0.5698991903779821,0.42659077961301173,0.5000389003145375,322.31474691491627
233,5.825,0.5715763823892698,0.4247956171221735,0.5000391066586698,322.2938169641832
234,5.8500000000000005,0.5732930626042658,0.42295781196286514,0.5000393185041921,322.2718611292018
235,5.875,0.575050089168222,0.42107643763646113,0.5000395360046302,322.2488295495363
236,5.9,0.5768486667108293,0.41915055417985164,0.5000397593183776,322.22466999513335
237,5.925000000000001,0.5786907559824681,0.41717920852348206,0.5000399886088893,322.19932775966254
238,5.95,0.5805759098981441,0.4151614349072635,0.5000402240448847,322.1727455495931
239,5.9750000000000005,0.5825050382957531,0.4130962553590567,0.500040465800563,322.14486336906947
240,6.0,0.5844790626439138,0.41098268024073514,0.5000407140558278,322.1156184003972
241,6.025,0.5864989155580749,0.4088197088671557,0.500040968996524,322.08494488013196
242,6.050000000000001,0.5885655402515303,0.40660633020370446,0.5000412308146859,322.05277397051975
243,6.075,0.5906798899163398,0.404341523648432,0.5000414997088013,322.0190336265655
244,6.1000000000000005,0.592842927028843,0.4020242599051626,0.5000417758840864,321.9836484583299
245,6.125,0.5950556225741417,0.3996535019543394,0.5000420595527767,321.94653958855264
246,6.15,0.5973189551835937,0.39722820612876375,0.5000423509344328,321.90762450571634
247,6.175000000000001,0.5996339101790221,0.39474732330179163,0.5000426502562637,321.8668169122131
248,6.2,0.6020014785169934,0.3922098001959704,0.5000429577534654,321.8240265681743
249,6.2250000000000005,0.604422655626156,0.3896145808205278,0.5000432736695793,321.7791591303119
250,6.25,0.6068984401302651,0.38696060804656157,0.5000435982568687,321.7321159864097
